user_id,segmento_id,segmento_nombre,tono,canal,horario,estilo_comunicacion,prop_tarjeta_credito_hey,prop_inversion_hey,prop_seguro_vida,prop_seguro_compras,prop_credito_personal,prop_credito_nomina,prop_credito_auto,prop_tarjeta_credito_garantizada,prop_cuenta_negocios,producto_top_1,producto_top_2,producto_top_3,flag_riesgo_churn,flag_uso_atipico,flag_credito_estresado,noise_score_usuario,ingreso_mensual_mxn,score_buro,antiguedad_dias,ocupacion,nivel_educativo,satisfaccion_1_10,dias_desde_ultimo_login,es_hey_pro,nomina_domiciliada,conv_n_total,conv_frustracion,conv_urgencia,intent_credito,intent_inversion
USR-00001,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0242,0.0002,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,24500,527,1554,1,2,10.0,1,True,False,1,0,0,2,0
USR-00002,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0426,0.0,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,19000,714,1410,3,2,8.0,3,True,False,1,0,0,1,0
USR-00003,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0508,0.0,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,14000,454,1174,3,0,8.0,3,True,False,1,0,0,0,0
USR-00004,2,Premium Digital,sofisticado,texto,07:00-09:00,"proactivo, anticipar necesidades",0.0,0.0,0.0669,0.0,0.0,0.0,0.0,0.0,0.0013,,,,0,0,0,0.0,61000,837,1168,1,1,10.0,16,False,False,1,0,0,2,0
USR-00005,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0242,0.0008,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,27000,533,816,2,2,7.0,1,True,False,1,0,0,2,0
USR-00006,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0004,0.0,0.0352,0.0002,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,28000,502,1215,1,0,9.0,1,True,False,1,0,0,0,0
USR-00007,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.6788,0.0,0.0002,0.0,0.0,0.0,0.0,Seguro de Vida,,,0,0,0,0.0,32000,615,1345,1,3,9.0,8,True,True,1,1,0,0,0
USR-00008,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.034,0.0002,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,11500,601,1117,1,0,10.0,0,True,False,2,0,0,0,0
USR-00009,4,Ahorrador Cauteloso,simple,voz,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.1093,0.022,0.0387,0.0,0.0008,0.0,0.0,0.0,0.0001,Tarjeta de Crédito Hey,,,0,0,0,0.0,19500,665,185,1,2,9.0,7,False,True,1,0,0,0,0
USR-00010,4,Ahorrador Cauteloso,simple,texto,10:00-14:00,"educativo, sin tecnicismos, sin presión",0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0001,,,,0,0,0,0.0,23500,609,357,4,2,7.0,2,False,False,2,0,0,0,0
